CODIGO_BECA;AGNO_FALLO;TIPO_INSTRUMENTO;PALABRAS_CLAVE
81180124;2018;ASISTENCIA A EVENTOS;"CIENCIAS DE LA NUTRICION  ; NUTRIENTES ; CIENCIAS DE LA NUTRICION  ; OBESIDAD ; CIENCIAS DE LA NUTRICION  ; VITAMINAS "
81180130;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR ; BIOLOGIA MOLECULAR  ; EXPRESION GENETICA"
81180131;2018;ASISTENCIA A EVENTOS;"INGENIERIA Y TECNOLOGIA QUIMICAS  ; TECNOLOGIA DE LA CATALISIS ; INGENIERIA Y TECNOLOGIA DEL MEDIO AMBIENTE ; CONTROL DE LA CONTAMINACION ATMOSFERICA "
81180136;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE LOS SISTEMAS DE TRANSPORTE  ; SISTEMAS DE TRANSITO URBANO  ; PLANIFICACION URBANA ; TRANSPORTE  ; ECONOMIA SECTORIAL ; TRANSPORTES Y COMUNICACIONES "
81180141;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE LOS ALIMENTOS  ; PROPIEDADES DE LOS ALIMENTOS"
81180142;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA E INGENIERIA MECANICAS ; TECNOLOGIA ENERGETICA  ; GENERADORES DE ENERGIA ; TECNOLOGIA ENERGETICA  ; FUENTES NO CONVENCIONALES DE ENERGIA "
81180143;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE PLANTAS"
81180144;2018;ASISTENCIA A EVENTOS;"GENETICA  ; GENETICA DE HONGOS ; MICROBIOLOGIA  ; HONGOS "
81180148;2018;ASISTENCIA A EVENTOS;"TEORIA, ANALISIS Y CRITICA LITERARIAS ; ESTILO Y ESTETICA LITERARIOS "
81180149;2018;ASISTENCIA A EVENTOS;"MATEMATICA ; ESTADISTICA"
81180150;2018;ASISTENCIA A EVENTOS;"LINGÜISTICA SINCRONICA ; SOCIOLINGÜISTICA "
81180162;2018;ASISTENCIA A EVENTOS;"MICROBIOLOGIA  ; BACTERIOLOGIA ; MICROBIOLOGIA  ; PROCESOS MICROBIANOS  ; BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE MICROORGANISMOS"
81180165;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE LOS SISTEMAS DE TRANSPORTE  ; SISTEMAS DE TRANSITO URBANO "
81180168;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE LA INFORMACION Y SISTEMAS ; TECNOLOGIAS DE LA INFORMACION Y SISTEMAS DE APLICACIONES"
81180169;2018;ASISTENCIA A EVENTOS;"BIOLOGIA VEGETAL (BOTANICA)  ; PALEOBOTANICA  ; ARQUEOLOGIA ; PALEOECOLOGIA"
81180177;2018;ASISTENCIA A EVENTOS;"BIOFISICA ; BIOMECANICA ; FISIOLOGIA HUMANA  ; FISIOLOGIA DE LA RESPIRACION"
81180179;2018;ASISTENCIA A EVENTOS;"VIROLOGIA  ; VIRUS NEUROTROPICOS"
81180181;2018;ASISTENCIA A EVENTOS;"MATEMATICA ; TEORIA DE LA PROBABILIDAD Y PROCESOS ESTOCASTICO ; INGENIERIA DE SOFTWARE / SOFTWARE ; INGENIERIA DE SOFTWARE ; NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180186;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; MORFOLOGIA CELULAR ; INMUNOLOGIA  ; ANTIGENOS"
81180188;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; FISIOLOGIA CARDIOVASCULAR ; FISIOLOGIA HUMANA  ; FISIOLOGIA ENDOTELIAL ; FISIOLOGIA HUMANA  ; FISIOLOGIA FETAL"
81180197;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR"
81180201;2018;ASISTENCIA A EVENTOS;"GEOGRAFIA LINGÜISTICA  ; LINGÜISTICA SINCRONICA ; SOCIOLINGÜISTICA "
81180203;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR ; BIOLOGIA HUMANA  ; FISIOLOGIA HUMANA  ; OTRAS ESPECIALIDADES BIOLOGICAS ; BIOLOGIA DEL CANCER"
81180206;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE PECES"
81180213;2018;ASISTENCIA A EVENTOS;"MATEMATICA ; COMBINATORIA"
81180216;2018;ASISTENCIA A EVENTOS;"BIOLOGIA ANIMAL (ZOOLOGIA)  ; ANATOMIA ANIMAL  ; BIOLOGIA ANIMAL (ZOOLOGIA)  ; DESARROLLO ANIMAL ; BIOLOGIA ANIMAL (ZOOLOGIA)  ; EMBRIOLOGIA ANIMAL"
81180217;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; CULTIVO CELULAR ; BIOLOGIA CELULAR ; MORFOLOGIA CELULAR"
81180218;2018;ASISTENCIA A EVENTOS;"FISICA DEL ESTADO SOLIDO  ; SUPERFICIES"
81180222;2018;ASISTENCIA A EVENTOS;"MICROBIOLOGIA  ; HONGOS "
81180223;2018;ASISTENCIA A EVENTOS;"FISIOLOGIA HUMANA  ; NEUROFISIOLOGIA ; NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180238;2018;ASISTENCIA A EVENTOS;"LINGUISTICA APLICADA ; TRASTORNOS DEL LENGUAJE"
81180244;2018;ASISTENCIA A EVENTOS;"PSICOTERAPIA INFANTO;JUVENIL ; PROCESOS PSICOTERAPEUTICOS"
81180251;2018;ASISTENCIA A EVENTOS;"TEORIA, ANALISIS Y CRITICA DE LAS BELLAS ARTES ; TEATRO"
81180254;2018;ASISTENCIA A EVENTOS;"POLITICA COMPARADA ; INSTITUCIONES POLITICAS ; POLITICA COMPARADA ; SISTEMAS POLITICOS ; ELECCIONES Y COMPORTAMIENTOS POLITICOS ; ELECCIONES"
81180255;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; BIOLOGIA MOLECULAR DE PLANTAS"
81180258;2018;ASISTENCIA A EVENTOS;"NEUROCIENCIAS ; NEUROFISIOLOGIA"
