PROGRAMA;CONCURSO;FOLIO;PALABRAS_CLAVES
FONDECYT;FONDECYT de Postdoctorado 2018;3180055;"BFO/CFO/RTO3;THIN FILM;MAGNETO-ELECTRIC EFFECT"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11200715;"BIBLICAL HEBREW SEMANTICS;SENSORY FIELD OF COMMUNICATION (HEARING, SPEAKING);COMPARATIVE SEMANTIC FIELDS"
FONDECYT;FONDECYT Regular 2017;1171232;"BICICLETAS PÚBLICAS;MOVILIDAD;SALUD"
FONDECYT;FONDECYT Regular 2018;1180853;"BIENESTAR ;PARENTALIDAD;GÉNERO"
FONDECYT;FONDECYT Regular 2020;1201456;"BIENESTAR DE OCUPANTES;EDIFICIOS SUSTENTABLES;CERTIFICACIÓN AMBIENTAL"
FONDECYT;FONDECYT Regular 2017;1171445;"BIENESTAR HUMANO;PLANIFICACIÓN TERRITORIAL;PAISAJES URBANO-LACUSTRES"
FONDECYT;FONDECYT Regular 2018;1180607;"BIENESTAR SUBJETIVO ;BIENESTAR SUBJETIVO EN ADOLESCENTES ;ESTUDIOS LONGITUDINAL"
FONDECYT;FONDECYT de Iniciación 2018;11180287;"BIENESTAR SUBJETIVO;PERSONAS MAYORES;RELIGIOSIDAD"
FONDECYT;FONDECYT Regular 2019;1190017;"BIENESTAR SUBJETIVO;TRABAJO;FAMILIA"
PAI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160066;"BIENESTAR;CALIDAD DE VIDA;INFANCIA"
FONDECYT;FONDECYT de Postdoctorado 2019;3190491;"BIENESTAR;MICROBIOTA;INTEROCEPCION"
FONDECYT;FONDECYT Regular 2018;1181809;"BIG DATA;SUSTAINABILITY;SMART CITIES"
FONDECYT;FONDECYT Regular 2019;1191145;"BILE ACIDS;HEPATOCELLULAR CARCINOMA;NON-ALCOHOLIC STEATOHEPATITIS"
FONDECYT;FONDECYT Regular 2017;1171419;"BILEVEL OPTIMIZATION;RISK MEASURES ;STACKELBERG SECURITY GAMES"
FONDECYT;FONDECYT Regular 2020;1201639;"BILLIARDS, ELASTIC COLLISIONS;REFLECTED DIFFUSIONS, SUBMARTINGALE PROBLEM;ATLAS MODEL"
FONDECYT;FONDECYT de Postdoctorado 2018;3180312;"BIMETALLIC OXIDE/SELENIDE;NANOCOMPOSITES;HYDROGELS "
FONDECYT;FONDECYT de Postdoctorado 2019;3190344;"BINARY FORMATION ;EPISODIC ACCRETION;METALLICITY"
FONDECYT;FONDECYT Regular 2020;1200610;"BIOACTIVE COMPOUNDS;MEDICINAL PLANTS;HYPOTENSIVE AND ANTIHYPERTENSIVE"
FONDECYT;FONDECYT de Iniciación 2018;11181019;"BIOACTIVE COMPOUNDS;MICROENCAPSULATION;HYDROGEL"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11200258;"BIOACTIVE LIPIDS;LIVER FIBROSIS;ANTIOXIDANT AND ANTI-INFLAMMATORY EQUILIBRIUM"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11191123;"BIOACTIVE MEMBRANES;WASTE-TO-ENERGY;FERMENTATIVE H2 PRODUCTION"
FONDECYT;FONDECYT Regular 2020;1201658;"BIOACTIVE PEPTIDES;BIOACCESSIBILITY,;BIOACCESSIBILITY,"
FONDECYT;FONDECYT Regular 2017;1170976;"BIO-BASED IONIC LIQUIDS SOLVENTS;SOLVENT EFFECT;KINETICS AND MECHANISM"
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC). CONVOCATORIA 2018;MEC80180020;"BIOCATÁLISIS;ENZIMAS;INTERNACIONALIZACIÓN"
FONDECYT;FONDECYT de Postdoctorado 2020;3200478;"BIOCATÁLISIS;NANOPARTÍCULAS DE TELURIO;INGENIERIA DE PROTEÍNAS"
FONDECYT;FONDECYT de Postdoctorado 2019;3190579;"BIOCATÁLISIS;QUÍMICA COMPUTACIONAL Y MODELAMIENTO;MÉTODOS DE ESTRUCTURA ELECTRÓNICA"
FONDECYT;FONDECYT Regular 2016;1161068;"BIOCHAR-BASED CATALYSIS/PHOTOCATALYSIS;CLEAN ENERGY PRODUCTION;ENVIRONMENTAL REMEDIATION"
FONDECYT;FONDECYT Regular 2018;1180296;"BIOCHEMICAL PHARMACOLOGY;BIOENERGETICS;TRANSMEMBRANE POTENTIAL"
PAI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160108;"BIOCOMBUSTIBLE;AEROSOL (CARBÓN NEGRO);ENERGÍA LIBERADA"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11200093;"BIOCONTROL, BIOSTIMULANTS AND BIOFERTILIZERS;SALINE-BORIC CONDITIONS;EXTREMOPHILES"
FONDEF;V Concurso de Investigación Tecnológica del Fondo de Fomento al desarrollo Científico y Tecnológico, Instrumento IDEA;IT16I10006;"BIOCONTROL;ENFERMEDADES DE LA MADERA DE LA VID;ELICITACIÓN Y PROMOCIÓN DE CRECIMIENTO"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11191091;"BIODEGRADABLE PACKAGING;BIOPOLYMER SYNTHESIS;BIOPOLYMER BLEND PROCESSING ENGINEERING"
FONDECYT;FONDECYT de Postdoctorado 2020;3200748;"BIODEGRADABLE PLASTICS;BIOMASS BIOCONVERSION;SYNTHETIC BIOLOGY AND METABOLIC ENGINEERING"
FONDECYT;FONDECYT Regular 2020;1200766;"BIODEGRADABLE POLYMERS;MULTILAYER PACKAGING;ENCAPSULATION THROUGH COAXIAL ELECTROSPINNING"
FONDECYT;FONDECYT de Postdoctorado 2017;3170176;"BIODEVICE;BONE REGENERATION;TISSUE ENGINEERING"
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC). CONVOCATORIA 2019;MEC80190089;"BIODIVERSIDAD;GENÉTICA DE PLANTAS;CONSERVACIÓN"
FONDECYT;FONDECYT de Postdoctorado 2020;3200817;"BIODIVERSIDAD;POLINIZACIÓN;VISITANTES FLORALES ALTERNATIVOS"
FONDECYT;FONDECYT de Iniciación 2018;11181320;"BIODIVERSITY  ;PHYLOGENY;EVOLUTION"
FONDECYT;FONDECYT de Postdoctorado 2018;3180028;"BIODIVERSITY CONSERVATION;CLIMATE CHANGE;CHILEAN VERTEBRATE"
FONDECYT;FONDECYT de Iniciación 2016;11160932;"BIODIVERSITY CONSERVATION;FIRES;ECOSYSTEM MANAGEMENT"
FONDECYT;FONDECYT Regular 2018;1181300;"BIODIVERSITY;FUNCTIONAL COMPOSITION;MOLLUSKS"
FONDECYT;FONDECYT de Iniciación 2018;11180688;"BIOELECTROCHEMICAL SYSTEM;POLYHYDROXYBUTYRATE (PHB);CARBON DIOXIDE"
