PROGRAMA;CONCURSO;FOLIO;PALABRAS_CLAVES
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150131;"AGROECOSISTEMAS;ECOLOGÍA DEL PAISAJE-BIODIVERSIDAD;SOSTENIBILIDAD AGROECOSISTEMAS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150138;"PRODUCCIÓN DE CARNE;CALIDAD DE CARNE;TECNOLOGÍAS DE ANÁLISIS NO DESTRUCTIVAS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150027;"BIODIVERSIDAD ANTÁRTICA Y SUBANTÁRTICA;BIOINFORMATICA;GESTIÓN DE BASE DE DATOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150136;"ARQUEOMETRIA;ARQUEOLOGÍA ;PATRIMONIO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150003;"ARGUMENTATIVE COMPETENCE;LINGUISTICS;EDUCATION;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150001;"MÉTODOS AUDIOVISUALES DE INVESTIGACIÓN;MÉTODOS DIGITALES DE INVESTIGACIÓN;TERRITORIO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150090;"BENCHMARKING ;PRACTICAS ;DESEMPEÑO ;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150047;"BIODIVERSIDAD;SUSTENTABILIDAD;FORMACIÓN DE CAPACIDADES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150014;"BIOREFINERÍA;BIOMASA ALGAL;BIOCOMBUSTIBLES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150011;"BIORREMEDIACIÓN DE AMBIENTES NATURALES;MODELAMIENTO MATEMÁTICO;TEORÍA DE CONTROL;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150073;"PROTEÍNA BIP;TRANSLOCACIÓN;MOLECULA INDIVIDUAL;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150089;"BLOCK CAVING;MODELIZACIÓN NUMÉRICA;FLUJO DE MATERIALES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150118;"CFD;BIOREACTOR;MODELO MATEMÁTICO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150151;"COARSE-GRAINED MOLECULAR SIMULATIONS;PKA PROTEIN KINASES;PROTEIN-PROTEIN/PROTEIN-SURFACE INTERACTIONS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150128;"CONFLICTO;TRADUCCIÓN;FILOSOFÍA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150039;"GOBIERNO CORPORATIVO;POLITICAS PUBLICAS;SUSTENTABILIDAD CORPORATIVA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150086;"EFLUENTES DE LECHERÍA;AGUA;PURINES DE LECHERÍA;"
PCI;PROYECTOS DE INVESTIGACIÓN CONJUNTA CONICYT CHILE . BMBF ALEMANIA;BMBF150075;"GESTIÓN DE LA DEMANDA;COGENERACIÓN;INTEGRACION A LA RED DE LAS ENERGÍAS RENOVABLES ;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150035;"DEPRESIÓN;PERSONALIDAD;MECANISMOS DE CAMBIO EN PSICOTERAPIA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150132;"BIOLOGIA DEL DESARROLLO;FISICA;MODELOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150040;"INCLUSIONES DIFERENCIALES;ANÁLISIS VARIACIONAL;DINÁMICA HAMILTONIANA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150079;"INCLUSIÓN DIGITAL;HABILIDADES DIGITALES;USOS INTERNET;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150140;"ALGORITMOS EFICIENTES.;OPTIMIZACIÓN COMBINATORIAL.;ALGORITMOS DE APROXIMACIÓN.;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150005;"CIBERSALUD;DEPRESION;PREVENCION Y TRAMIENTO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150043;"EMISIONES;CALIDAD DEL AIRE;CAMBIO CLIMATICO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150083;"SISTEMAS DE ALMACENAMIENTO DE ENERGÍA;MICRO-REDES;ESTRATEGIAS DE CONTROL;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150109;"EPIGENETICS;TRANSCRIPTION;GENE-EXPRESSION;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150098;"BIOTECNOLOGÍA DE ALIMENTOS;CIENCIAS ALIMENTARIAS;COMPUESTOS BIOACTIVOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150127;"BIOTECNOLOGÍA DE ALIMENTOS;CIENCIAS ALIMENTARIAS;COMPUESTOS BIOACTIVOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150078;"FORMACION DE GALAXIA;POBLACIONES ESTELARES;MODELOS Y SIMULACIONES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150077;"GENETICA;MICROBIOLOGIA;LEVADURA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150149;"GLOBAL EARTHQUAKE MODEL;CURVAS DE FRAGILIDAD;VULNERABIIDAD SÍSMICA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150052;"GOBERNANZA;RIESGOS;ENERGÍA;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150081;"ECOLOGÍA HUMANA;DESIERTO DE ATACAMA;POBLAMIENTO HUMANO TEMPRANO;"
PCI;PROYECTOS DE INVESTIGACIÓN CONJUNTA CONICYT CHILE . BMBF ALEMANIA;BMBF150067;"CARBONIZACIÓN HIDROTÉRMICA;BIOMASA;CALIDAD DEL AIRE;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150094;"INMUNOLOGÍA;GENÓMICA;REGULACIÓN FÉNICA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150116;"CÉLULAS TRONCALES PLURIPOTENTES INDUCIDAS;ALZHEIMER;MODELO CELULAR;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150065;"REPROGRAMACION CELULAR;MEDINA REGENERATIVA;MODELOS DE ENFERMEDAD;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150102;"PATOLOGÍAS INFECCIOSAS;ENFERMEDADES DE TRANSMISIÓN SEXUAL ;DENDRÍMEROS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150152;"KAIROMONAS;TORTRICIDAE;MANEJO DE PLAGAS;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150058;"PROCESAMIENTO DEL LENGUAJE;PSICOLINGÜÍSTICA EXPERIMENTAL;EYE-TRACKING;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150082;"LISOSOMA;FACTOR DE TRANSCRIPCIÓN TFEB;ENFERMEDAD LISOSOMAL;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150063;"RESERVORIOS MAGMATICOS;ERUPCIONES VOLCÁNICAS EXPLOSIVAS;GRANDES YACIMIENTOS METÁLICOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150050;"MAQUI;EFECTOS ANTITROMBÓTICOS;PRODUCCIÓN IN VITRO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150009;"EDUCACIÓN MATEMÁTICA;PSICOLOGÍA COGNITIVA Y EXPERIMENTAL;NÚMEROS RACIONALES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150135;"RESOLUCIÓN DE PROBLEMAS MATEMÁTICOS;DESARROLLO PROFESIONAL;PROFESORES DE EDUCACIÑON BÁSICA;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150091;"AMBIENTES MEDITERRÁNEOS;BIODIVERSIDAD EVOLUTIVA DE PLANTAS;DISTRIBUCION DE PLANTAS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150096;"MICROPARTICULAS;SECADO POR ATOMIZACIÓN;SECADO ASISTIDO POR FLUIDOS SUPERCRITICOS;"
PCI;PROYECTOS DE INVESTIGACIÓN CONJUNTA CONICYT CHILE . BMBF ALEMANIA;BMBF150026;"PROCESAMIENTO DE MINERALES;BIOFLOTACIÓN;AGUA DE MAR;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150126;"MINERÍA;EXTRACTIVISMO;DESIERTO DE ATACAMA;"
PCI;PROYECTOS DE INVESTIGACIÓN CONJUNTA CONICYT CHILE . BMBF ALEMANIA;BMBF150061;"EVALUACIÓN IMPACTO DE LA MINERÍA;ECONOMÍA REGIONAL;MODELAMIENTO ECONÓMICO REGIONAL;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150051;"METODOLOGÍAS MIXTAS;ANÁLISIS CUANTITATIVO;ANÁLISIS CUALITATIVO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150007;"NANOMATERIALES;SUPERFICIES;SEMICONDUCTORES FOTOSENSITIVOS - DISPOSITIVOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150153;"RIESGOS NATURALES;AREAS DE MONTAÑA;MORFOLOGIA DE RIOS;"
PCI;PROYECTOS DE INVESTIGACIÓN CONJUNTA CONICYT CHILE . BMBF ALEMANIA;BMBF150065;"NEUROPLASTINA;EXOCISTO;PLASTICIDAD SINAPTICA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150041;"FUNDICIÓN NODULAR;ENDURECIMIENTO SUPERFICIAL POR LÁSER;PLASMA DE ARCO TRANSFERIDO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150030;"OMICS;ABIOTIC STRESSES;DATA INTEGRATION;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150011;"SISTEMAS FUERA DEL EQUILIBRIO;ESTADOS LOCALIZADOS;FORMACIÓN DE PATRONES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150024;"PALEOCIMA;POLVO;TURBERA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150134;"FISIOLOGÍA;EFERENTE AUDITIVO;NEUROCIENCIA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150021;"VIOLENCIA POLÍTICA;MEMORIA SOCIAL, HISTORIA Y LITERATURA;DERECHOS HUMANOS Y COMISIONES DE VERDAD;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150084;"PROBIOTICO;SALMONICULTURE;TERAPEUTICO;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150053;"CÉLULAS PROGENITORAS;ADENOSINA;ANGIOGNESIS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150121;"DISPARIDADES REGIONALES;COSTO DE VIDA;DESIGUALDAD DE INGRESOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150008;"INTEGRACIÓN DE ENERGÍAS RENOVABLES;CRITERIOS DE SEGURIDAD DE LOS SISTEMAS DE POTENCIA;PLANIFICACIÓN DE LARGO PLAZO DE LOS SISTEMAS DE POTENCIA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150053;"ENERGÍAS RENOVABLES;ELECTRÓNICA DE POTENCIA;CONTROL PREDICTIVO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150119;"RIESGO;VULNERABILIDAD;DESASTRES NATURALES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150141;"CONVIVENCIA ESCOLAR;BIENESTAR DE ESTUDIANTES;VIOLENCIA ESCOLAR;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150100;"EXPLICACIONES CIENTÍFICAS;EDUCACIÓN CIENTÍFICA;EDUCACIÓN DE PROFESORES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150046;"AUTO ORGANIZACIÓN DE VEGETALES;ESTADOS LOCALIZADOS;DESERTIFICACIÓN;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150045;"MÉDULA ESPINAL;REGENERACIÓN AXONAL;XENOPUS TROPICALIS;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150171;"FORMACIÓN DE ESTRELLAS;UNIVERSO TEMPRANO;ASTROFÍSICA COMPUTACIONAL;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150038;"STOCHASTIC MODELLING;BAYESIAN - PARAMETRIC- NON PARAMETRIC;FLUID DYNAMIC;"
PCI;PROYECTOS DE INVESTIGACIÓN CONJUNTA CONICYT CHILE . BMBF ALEMANIA;BMBF150029;"MEJORAMIENTO DE SYNGAS;CATALIZADOR;AEROGEL DE CARBÓN;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150107;"EDUCADORES;CIENCIA Y SOCIEDAD;COMUNIDADES DE APRENDIZAJE;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150010;"JUSTICIA TERRITORIAL;DESIGUALDAD SOCIAL;PERCEPCIÓN DE INJUSTICIA;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150080;"CONVERSIÓN TERMOQUÍMICA ;BIOECONOMÍA;DESARROLLO TECNOLOGICO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150093;"ESTRUCTURAS DE MADERA;SEGURIDAD CONTRA INCENDIOS;COMPORTAMIENTO ESTRUCTURAL EN INCENDIOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150150;"SERIES DE TIEMPO;LATINOAMÉRICA;TALLER;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150042;"DYE SENSITIZED SOLAR CELLS;ELECTRONIC STRUCTURE;EELECTRONIC INJECTION METHODS  ;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150034;"TURBINA EÓLICA;GENERADOR DE INDUCCIÓN DOBLEMENTE ALIMENTADO;SISTEMA DE CONTROL DSPACE;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150101;"ESCRITURA;VIOLENCIA;POLITICA;"
FONDECYT;FONDECYT Regular 2016;1160097;"""YO PUEDO-YO HAGO"";ÉTICA HERMENÉUTICA;FUNDAMENTOS ONTO-ANTROPOLÓGICOS"
FONDECYT;FONDECYT Regular 2017;1171665;"(DES)CORTESIA;IMAGEN SOCIAL;CONVERSACIONES Y DISCURSO POLEMICO"
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC) . CONVOCATORIA 2017;MEC80170019;"(PRE)CUBIERTAS;MORFISMOS FANTASMAS;CATEGORÍA"
FONDECYT;FONDECYT de Postdoctorado 2017;3170438;"(SUPER)GRAVITY THEORIES;BLACK HOLE SOLUTIONS;EXPANSION METHODS OF LIE ALGEBRAS"
FONDECYT;FONDECYT de Postdoctorado 2020;3200635;"1D TIO2 AND ZNO NANOWIRES;NOVEL COUNTER ELECTRODES FOR DSSC;COST EFFECTIVE COATING OF THIN FILMS"
FONDECYT;FONDECYT Regular 2020;1201841;"2D AND 3D SEISMIC ISOLATION;ATTENUATION OF LATERAL AND VERTICAL IMPACT FORCES;SMOOTH STIFFENING"
FONDECYT;FONDECYT Regular 2020;1201468;"2D MATERIALS;GRAPHENE BASED MATERIALS;2D METAL OXIDES"
FONDECYT;FONDECYT Regular 2020;1200965;"3D LIVER TISSUE ARCHITECTURE;KUPFFER CELLS;REGENERATION AND CANCER"
FONDECYT;FONDECYT Regular 2020;1201578;"3D PRINTING;FISH BY-PRODUCTS;RHEOLOGY"
FONDECYT;FONDECYT de Iniciación 2017;11170081;"3-HYDROXYBUTYRIC ACID FROM POLYHYDROXYBUTYRATE;FED-BATCH CULTURE;BIOBASED MATERIALS"
FONDECYT;FONDECYT de Postdoctorado 2017;3170737;"4D FLOW;PARÁMETROS HEMODINÁMICOS;RECONSTRUCCIÓN DE IMÁGENES MÉDICAS"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11200659;"5G; 6G; ENERGY EFFICIENCY; INTERNET OF THINGS (IOT); RELIABILITY; SECURITY; WIRELESS CONNECTIVITY;;LOW-POWER WIDE-AREA NETWORK; MASSIVE MACHINE-TYPE COMMUNICATIONS; ENHANCED MOBILE BROADBAND;;ULTRA-RELIABLE AND LOW-LATENCY COMMUNICATIONS; CODED MESSAGE REPLICATION; NEXT GENERATION SYSTEMS"
FONDECYT;FONDECYT Regular 2019;1190302;"5-HYDROXYMETHYLFURFURAL;IONIC LIQUID;DENSE CARBON DIOXIDE"
FONDECYT;FONDECYT Regular 2020;1200051;"A PRIORI ERROR ESTIMATES;;A POSTERIOR ERROR ESTIMATES;STABILIZATION"
FONDECYT;FONDECYT Regular 2016;1161502;"ABANDONO;COGNITIVO-MOTIVACIONAL;MODELO"
FONDECYT;FONDECYT de Postdoctorado 2020;3201059;"ABC;COEXTINCIÓN;CAMBIO CLIMÁTICO"
FONDEF;V Concurso de Investigación Tecnológica del Fondo de Fomento al desarrollo Científico y Tecnológico, Instrumento IDEA;IT16I10079;"ABEJA MELIFERA;LOQUE AMERICANA;BIOCIDA NATURAL"
PAI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160004;"ABELIAN VARIETIES;GROUP ACTIONS;CURVES AND SURFACES"
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC). CONVOCATORIA 2019;MEC80190041;"ABELIAN VARIETIES;GROUP ACTIONS;ENDOMORPHISMS"
FONDECYT;FONDECYT Regular 2020;1200608;"ABELIAN VARIETIES;RIEMANN SURFACES;FINITE GROUPS"
FONDECYT;FONDECYT Regular 2019;1190991;"ABELIAN VARIETIES;SYMMETRIES;RIEMANN SURFACES"
FONDECYT;FONDECYT de Iniciación 2018;11180965;"ABELIAN VARIETY;THETA DIVISOR;GROUP ACTION"
FONDECYT;FONDECYT de Iniciación 2018;11180521;"ABIOTIC C MINERALIZATION;RAINFOREST;CARBON SEQUESTRATION"
FONDECYT;FONDECYT de Postdoctorado 2017;3170276;"ABIOTIC STRESS;PHYTOPROSTANES;PHYSIOLOGICAL DISORDER"
FONDECYT;FONDECYT Regular 2017;1171071;"ABUELOS;BIENESTAR;ADULTOS MAYORES"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11190818;"ABUSO SEXUAL;INSTITUCIÓN RELIGIOSA;VÍCTIMAS"
FONDECYT;FONDECYT Regular 2016;1160636;"ABUSOS DE MERCADO DE VALORES;USO DE INFORMACIÓN PRIVILEGIADA Y MANIPULACIÓN DE MERCADO DE VALORES;FALSEDADES BURSÁTILES"
FONDECYT;FONDECYT Regular 2019;1191673;"ACCELERATION;INSTABILITIES;PLASMAS"
FONDECYT;FONDECYT de Iniciación 2017;11171146;"ACCESIBILIDAD ;BIENESTAR HABITACIONAL ;DISCAPACIDAD"
FONDECYT;FONDECYT de Postdoctorado 2020;3200381;"ACCESIBILIDAD, BARRERAS SOCIO-ESPACIALES, MOVILIDAD, SITUACIONES DE EXCLUSIÓN;ADULTO MAYOR;RED METROPOLITANA DE MOVILIDAD"
FONDECYT;FONDECYT Regular 2017;1171722;"ACCESO A LA VIVIENDA ;INMIGRANTES LATINOAMERICANOS ;CIUDADES MINERAS"
PCI;Programa Energía 2018;ENER180040;"ACCESO ABIERTO;ERV Y PMGD;GENERACIÓN DISTRIBUIDA Y ELECTROMOVILIDAD"
FONDECYT;FONDECYT Regular 2016;1160871;"ACCESO EDUCACIÓN SUPERIOR;INFORMACIÓN;TOMA DE DECISIONES"
FONDECYT;FONDECYT Regular 2019;1191295;"ACCIÓN COLECTIVA;EMOCIONES;REPRESIÓN"
FONDECYT;FONDECYT Regular 2018;1180530;"ACCIÓN DE INAPLICABILIDAD POR INCONSTITUCIONALIDAD;VICIOS DE FORMA;INFRACCIONES CONSTITUCIONALES"
FONDECYT;FONDECYT Regular 2016;1161371;"ACCIONES COLECTIVAS;MOVIMIENTOS SOCIALES;IDENTIDAD SOCIAL"
FONDECYT;FONDECYT de Postdoctorado 2020;3200328;"ACCIONES COLECTIVAS;PERSPECTIVAS FEMINISTAS;TRABAJO SEXUAL"
